disease,symptoms
"Eczema, dyshidrotic, also known asDyshidrosis","Stress. Dyshidrosis appears to be more common during times of emotional or physical stress., Exposure to certain metals. These include cobalt and nickel — usually in an industrial setting., Sensitive skin. People who develop a rash after contact with certain irritants are more likely to experience dyshidrosis., Atopic dermatitis. Some people with atopic dermatitis may develop dyshidrotic eczema."
"ED, also known asErectile dysfunction","Trouble getting an erection, Trouble keeping an erection, Reduced sexual desire"
Edema,"Swelling or puffiness of the tissue right under the skin, especially in legs or arms., Stretched or shiny skin., Skin that holds a dimple, also known as pitting, after it's been pressed for a few seconds., Increase in the size of the stomach area., Feeling of leg heaviness."
"Edema, pulmonary, also known asPulmonary edema","Difficulty breathing (dyspnea) or extreme shortness of breath that worsens with activity or when lying down, A feeling of suffocating or drowning that worsens when lying down, A cough that produces frothy sputum that may have blood in it, A rapid, irregular heartbeat (palpitations), Anxiety, restlessness or a feeling that something bad is about to happen, Cold, clammy skin, Wheezing or gasping for breath"
Ehlers-Danlos syndrome,"Overly flexible joints. Because the connective tissue that holds joints together is looser, your joints can move far past the normal range of motion. Joint pain and dislocations are common., Stretchy skin. Weakened connective tissue allows your skin to stretch much more than usual. You may be able to pull a pinch of skin up away from your flesh, but it will snap right back into place when you let go. Your skin might also feel exceptionally soft and velvety., Fragile skin. Damaged skin often doesn't heal well. For example, the stitches used to close a wound often will tear out and leave a gaping scar. These scars may look thin and crinkly."
Ehrlichiosis and anaplasmosis,"Moderate fever, Chills, Headache, Muscles aches or pains, General feeling of being unwell, Joint pain, Nausea, Vomiting, Diarrhea, Loss of appetite"
Eisenmenger syndrome,"Blue or gray skin color due to low oxygen levels (cyanosis), Chest pain or tightness, Coughing up blood, Dizziness or fainting, Easily tiring and shortness of breath with activity, Headaches, Large, rounded fingernails or toenails (clubbing), Numbness or tingling in fingers or toes, Shortness of breath while at rest, Skipped or racing heartbeats (palpitations)"
Elevated blood pressure,"Adrenal gland disorders, Heart problem affecting blood vessels present at birth (congenital heart defect), Illegal drugs, such as cocaine and amphetamines, Kidney disease, Obstructive sleep apnea, Some medications, including birth control pills, cold and sinus medicines, over-the-counter pain relievers containing caffeine, and some prescription drugs, Thyroid disease"
"Embolism, pulmonary, also known asPulmonary embolism","Shortness of breath. This symptom usually appears suddenly. Trouble catching your breath happens even when resting and gets worse with physical activity., Chest pain. You may feel like you're having a heart attack. The pain is often sharp and felt when you breathe in deeply. The pain can stop you from being able to take a deep breath. You also may feel it when you cough, bend or lean over., Fainting. You may pass out if your heart rate or blood pressure drops suddenly. This is called syncope."
Emphysema,"You're so short of breath, you can't climb stairs, Your lips or fingernails turn blue or gray with exertion, You're not mentally alert"
Encephalitis,"Headache., Fever., Aches in muscles or joints., Fatigue or weakness."
Encopresis,"Leakage of stool or liquid stool on underwear, which can be mistaken for diarrhea, Constipation with dry, hard stool, Passage of large stool that clogs or almost clogs the toilet, Avoidance of bowel movements, Long periods of time between bowel movements, Lack of appetite, Abdominal pain, Problems with daytime wetting or bedwetting (enuresis), Repeated bladder infections, typically in girls"
"End stage kidney failure, also known asEnd-stage renal disease","Nausea, Vomiting, Loss of appetite, Fatigue and weakness, Changes in how much you urinate, Chest pain, if fluid builds up around the lining of the heart, Shortness of breath, if fluid builds up in the lungs, Swelling of feet and ankles, High blood pressure (hypertension) that's difficult to control, Headaches, Difficulty sleeping, Decreased mental sharpness, Muscle twitches and cramps, Persistent itching, Metallic taste"
"Endocardial cushion defect, also known asAtrioventricular canal defect","Blue or gray skin color due to low oxygen levels, Difficulty breathing or rapid breathing, Excessive sweating, Fatigue, Irregular or rapid heartbeat, Lack of appetite, Poor weight gain, Swelling in the legs, ankles and feet, Wheezing"
Endocarditis,"Aching joints and muscles, Chest pain when you breathe, Fatigue, Flu-like symptoms, such as fever and chills, Night sweats, Shortness of breath, Swelling in the feet, legs or belly, A new or changed whooshing sound in the heart (murmur)"
Endometrial cancer,"Vaginal bleeding after menopause, Bleeding between periods, Pelvic pain"
"Endometrial polyps, also known asUterine polyps","Vaginal bleeding after menopause., Bleeding between periods., Frequent, unpredictable periods whose lengths and heaviness vary., Very heavy periods., Infertility."
Endometriosis,"Painful periods (dysmenorrhea). Pelvic pain and cramping may begin before and extend several days into a menstrual period. You may also have lower back and abdominal pain., Pain with intercourse. Pain during or after sex is common with endometriosis., Pain with bowel movements or urination. You're most likely to experience these symptoms during a menstrual period., Excessive bleeding. You may experience occasional heavy menstrual periods or bleeding between periods (intermenstrual bleeding)., Infertility. Sometimes, endometriosis is first diagnosed in those seeking treatment for infertility., Other signs and symptoms. You may experience fatigue, diarrhea, constipation, bloating or nausea, especially during menstrual periods."
End-stage renal disease,"Nausea, Vomiting, Loss of appetite, Fatigue and weakness, Changes in how much you urinate, Chest pain, if fluid builds up around the lining of the heart, Shortness of breath, if fluid builds up in the lungs, Swelling of feet and ankles, High blood pressure (hypertension) that's difficult to control, Headaches, Difficulty sleeping, Decreased mental sharpness, Muscle twitches and cramps, Persistent itching, Metallic taste"
"Enlarged breasts in men, also known asEnlarged breasts in men (gynecomastia)","Pain, particularly in adolescents, Swollen breast tissue, Breast tenderness, Nipple sensitivity with rubbing against clothes"
Enlarged breasts in men (gynecomastia),"Pain, particularly in adolescents, Swollen breast tissue, Breast tenderness, Nipple sensitivity with rubbing against clothes"
Enlarged heart,"Shortness of breath, especially while lying flat, Waking up short of breath, Irregular heart rhythm (arrhythmia), Swelling (edema) in the belly or in the legs"
